Label,H_mean,H_std,S_mean,S_std,V_mean,V_std,25th Percentile,50th Percentile,75th Percentile
negativo,26.684676705048716,10.923509921509298,86.26483613817538,68.86215428150182,160.40212577502214,40.81802423752981,32.0,60.0,143.0
negativo,26.689991142604075,10.963886968087163,78.01948627103631,71.91879568027406,170.4269264836138,36.599431058355314,33.0,51.0,153.0
negativo,25.12931798051373,10.32154091628222,79.99468556244464,71.15698265659735,169.69441984056687,36.52626334496818,30.0,53.0,153.0
positivo,31.796279893711247,11.406924705851024,164.89991142604075,48.51684840615524,165.53675819309123,37.58357353403371,28.0,143.0,166.0
positivo,30.804251550044288,11.81686877277799,161.86713906111603,56.13672786251421,166.80248007085916,38.105175332461435,27.0,136.0,166.0
positivo,30.67493356953056,11.849876598267587,199.36049601417184,52.32460073853042,162.36581045172719,39.026641672268205,27.0,142.0,193.0
positivo,31.794508414526128,11.401922279471673,167.674047829938,49.22386138164332,172.04517271922055,35.550718471950056,28.0,148.0,171.0
negativo,23.930026572187778,9.729534270034865,101.60496014171834,63.988566102638615,174.17271922054917,34.62494633279815,29.0,81.0,158.0
positivo,31.015943312666074,11.722345592947969,170.60850310008857,56.865457099490186,172.39769707705935,34.92477597611406,27.0,146.0,171.0
negativo,25.37112488928255,10.299651230750603,107.18777679362267,61.34229415057863,172.6430469441984,36.575354442976064,30.0,88.0,157.0
negativo,24.849424269264837,10.117747963317974,113.40478299379983,60.71701785345425,168.67936226749336,36.632640306426815,30.0,99.0,153.0
negativo,26.210806023029228,10.7145848202878,111.4030115146147,60.13176872554769,172.42161204605847,37.38196436935425,31.0,95.0,157.0
negativo,30.243578387953942,14.99802218857279,54.25066430469442,81.18316866883362,167.23029229406555,39.97477198237654,25.0,34.0,148.0
negativo,26.1674047829938,11.083200946502851,79.11337466784765,71.8235800428419,155.81576616474757,42.68789735370328,31.0,55.0,135.0
negativo,25.733392382639504,10.577260194473306,77.40655447298494,72.22503455807329,174.10008857395925,34.76948880312698,30.0,52.0,158.0
positivo,30.45881310894597,11.952976022411846,190.881310894597,53.58187112990735,162.2444641275465,39.338850992778895,27.0,140.0,198.0
positivo,32.1674047829938,11.24867320179234,165.46324180690877,44.769191811563594,164.08680248007087,38.55082450855747,28.0,142.0,163.0
negativo,24.20283436669619,9.842810225516983,122.6563330380868,57.99001668164637,169.47918511957485,36.92829046563327,29.0,106.0,153.0
